	faith_pd
2019.3.14.cow.fecal.1	40.15670683495543
2019.3.14.cow.fecal.10	60.36852708535243
2019.3.14.cow.fecal.11	67.46336548548312
2019.3.14.cow.fecal.12	50.90350310817184
2019.3.14.cow.fecal.13	69.94239828121702
2019.3.14.cow.fecal.13.rep	65.13050363317964
2019.3.14.cow.fecal.14	59.89428867015429
2019.3.14.cow.fecal.14.rep	69.37666534576448
2019.3.14.cow.fecal.15	56.53726829663452
2019.3.14.cow.fecal.15.rep	53.27925437107173
2019.3.14.cow.fecal.16	52.61986223302944
2019.3.14.cow.fecal.17	68.57036669882774
2019.3.14.cow.fecal.17.rep	73.13230445753085
2019.3.14.cow.fecal.18	70.51698028244259
2019.3.14.cow.fecal.18.rep	73.52082357689436
2019.3.14.cow.fecal.19	64.1932110186265
2019.3.14.cow.fecal.19.rep	61.2353645377035
2019.3.14.cow.fecal.2	63.54260911521256
2019.3.14.cow.fecal.20	61.42285940528018
2019.3.14.cow.fecal.20.rep	60.61819452746321
2019.3.14.cow.fecal.3	73.73882890643783
2019.3.14.cow.fecal.4	63.70818498325342
2019.3.14.cow.fecal.5	62.33995729865305
2019.3.14.cow.fecal.5.rep	62.25043429066724
2019.3.14.cow.fecal.6	61.74223954534465
2019.3.14.cow.fecal.7	67.971105208224
2019.3.14.cow.fecal.7.rep	65.3541013626199
2019.3.14.cow.fecal.8	74.88675211446146
2019.3.14.cow.fecal.9	60.80782411518138
2019.3.14.cow.fecal.9.rep	59.86741941113769
2019.3.14.cow.nasal.1	24.08386570841179
2019.3.14.cow.nasal.10	28.94283084742742
2019.3.14.cow.nasal.11.rep	28.58486490814682
2019.3.14.cow.nasal.13	35.15910264664054
2019.3.14.cow.nasal.13.rep	23.36462004534624
2019.3.14.cow.nasal.14	24.71630474168836
2019.3.14.cow.nasal.15	23.70451300072171
2019.3.14.cow.nasal.15.rep	27.20688847742862
2019.3.14.cow.nasal.16.rep	20.82301106989294
2019.3.14.cow.nasal.18.rep	14.33072121599142
2019.3.14.cow.nasal.19	38.92863399398667
2019.3.14.cow.nasal.2	34.30374409254743
2019.3.14.cow.nasal.3	25.38529341048658
2019.3.14.cow.nasal.4	23.04982198611154
2019.3.14.cow.nasal.4.rep	32.91643755023099
2019.3.14.cow.nasal.5	23.51393588330077
2019.3.14.cow.nasal.6	14.61078167606316
2019.3.14.cow.nasal.7	56.20193914070354
2019.3.14.cow.nasal.8	34.70415319632941
2019.3.14.cow.nasal.9	22.33784780776354
2019.3.14.cow.oral.1	25.88443096913971
2019.3.14.cow.oral.1.rep	34.8840115125509
2019.3.14.cow.oral.10	27.49482301780365
2019.3.14.cow.oral.10.rep	27.38177302567291
2019.3.14.cow.oral.11	21.33098851266881
2019.3.14.cow.oral.11.rep	25.64562261551598
2019.3.14.cow.oral.12	45.46459804476132
2019.3.14.cow.oral.13.rep	56.92499274708127
2019.3.14.cow.oral.14	29.43060585537833
2019.3.14.cow.oral.15	34.23777002793925
2019.3.14.cow.oral.16	34.44784409991586
2019.3.14.cow.oral.17	51.47543053631269
2019.3.14.cow.oral.2	44.35044086645205
2019.3.14.cow.oral.3	29.72481751629831
2019.3.14.cow.oral.3.rep	29.60184157532316
2019.3.14.cow.oral.5	23.90200620038439
2019.3.14.cow.oral.6	20.78557381175565
2019.3.14.cow.oral.7	36.15194461441914
2019.3.14.cow.oral.8	36.96626088165291
2019.3.14.cow.oral.9	57.42365917011517
2019.3.14.cow.skin.rump.1	79.38979984973719
2019.3.14.cow.skin.rump.10	84.39995042411249
2019.3.14.cow.skin.rump.11	76.20409721149953
2019.3.14.cow.skin.rump.12	84.2948075243805
2019.3.14.cow.skin.rump.13	54.06750543228259
2019.3.14.cow.skin.rump.14	72.56616499559358
2019.3.14.cow.skin.rump.15	65.70069931621197
2019.3.14.cow.skin.rump.16	74.98373697298899
2019.3.14.cow.skin.rump.18	79.96327297311167
2019.3.14.cow.skin.rump.19	72.54352086487307
2019.3.14.cow.skin.rump.2	86.53648819638752
2019.3.14.cow.skin.rump.20	71.14794808354526
2019.3.14.cow.skin.rump.3	54.10740995328468
2019.3.14.cow.skin.rump.4	64.44339435593301
2019.3.14.cow.skin.rump.5	66.1213052073862
2019.3.14.cow.skin.rump.6	76.8121439151409
2019.3.14.cow.skin.rump.7	53.3817383466622
2019.3.14.cow.skin.rump.8	105.1836581254136
2019.3.14.cow.skin.rump.8.rep	89.05802041937719
2019.3.14.cow.skin.rump.9	83.20874449739239
2019.3.14.cow.udder.1	52.84429395785244
2019.3.14.cow.udder.10	59.08355475575349
2019.3.14.cow.udder.12	56.08688395390299
2019.3.14.cow.udder.13	55.12772095764096
2019.3.14.cow.udder.14	53.3676980556109
2019.3.14.cow.udder.15	56.5100540213131
2019.3.14.cow.udder.19	56.59540902101823
2019.3.14.cow.udder.20	64.79864571450847
2019.3.14.cow.udder.4	70.08367241122849
2019.3.14.cow.udder.5	46.5927997088593
2019.3.14.cow.udder.9	58.56118087506311
PC1.3	6.047064802049817
PC1.4	8.649053251854411
