	observed_features
2019.3.14.cow.fecal.1	186
2019.3.14.cow.fecal.10	405
2019.3.14.cow.fecal.11	438
2019.3.14.cow.fecal.12	310
2019.3.14.cow.fecal.13	448
2019.3.14.cow.fecal.13.rep	411
2019.3.14.cow.fecal.14	382
2019.3.14.cow.fecal.14.rep	456
2019.3.14.cow.fecal.15	381
2019.3.14.cow.fecal.15.rep	355
2019.3.14.cow.fecal.16	293
2019.3.14.cow.fecal.17	446
2019.3.14.cow.fecal.17.rep	475
2019.3.14.cow.fecal.18	465
2019.3.14.cow.fecal.18.rep	513
2019.3.14.cow.fecal.19	437
2019.3.14.cow.fecal.19.rep	411
2019.3.14.cow.fecal.2	421
2019.3.14.cow.fecal.20	415
2019.3.14.cow.fecal.20.rep	410
2019.3.14.cow.fecal.3	466
2019.3.14.cow.fecal.4	441
2019.3.14.cow.fecal.5	437
2019.3.14.cow.fecal.5.rep	467
2019.3.14.cow.fecal.6	342
2019.3.14.cow.fecal.7	461
2019.3.14.cow.fecal.7.rep	427
2019.3.14.cow.fecal.8	486
2019.3.14.cow.fecal.9	384
2019.3.14.cow.fecal.9.rep	383
2019.3.14.cow.nasal.1	68
2019.3.14.cow.nasal.10	98
2019.3.14.cow.nasal.11.rep	90
2019.3.14.cow.nasal.13	129
2019.3.14.cow.nasal.13.rep	67
2019.3.14.cow.nasal.14	88
2019.3.14.cow.nasal.15	75
2019.3.14.cow.nasal.15.rep	91
2019.3.14.cow.nasal.16.rep	39
2019.3.14.cow.nasal.18.rep	35
2019.3.14.cow.nasal.19	123
2019.3.14.cow.nasal.2	118
2019.3.14.cow.nasal.3	56
2019.3.14.cow.nasal.4	71
2019.3.14.cow.nasal.4.rep	89
2019.3.14.cow.nasal.5	64
2019.3.14.cow.nasal.6	39
2019.3.14.cow.nasal.7	238
2019.3.14.cow.nasal.8	120
2019.3.14.cow.nasal.9	69
2019.3.14.cow.oral.1	104
2019.3.14.cow.oral.1.rep	131
2019.3.14.cow.oral.10	102
2019.3.14.cow.oral.10.rep	91
2019.3.14.cow.oral.11	68
2019.3.14.cow.oral.11.rep	83
2019.3.14.cow.oral.12	184
2019.3.14.cow.oral.13.rep	247
2019.3.14.cow.oral.14	79
2019.3.14.cow.oral.15	122
2019.3.14.cow.oral.16	143
2019.3.14.cow.oral.17	193
2019.3.14.cow.oral.2	151
2019.3.14.cow.oral.3	105
2019.3.14.cow.oral.3.rep	104
2019.3.14.cow.oral.5	93
2019.3.14.cow.oral.6	67
2019.3.14.cow.oral.7	107
2019.3.14.cow.oral.8	115
2019.3.14.cow.oral.9	238
2019.3.14.cow.skin.rump.1	462
2019.3.14.cow.skin.rump.10	455
2019.3.14.cow.skin.rump.11	417
2019.3.14.cow.skin.rump.12	423
2019.3.14.cow.skin.rump.13	272
2019.3.14.cow.skin.rump.14	338
2019.3.14.cow.skin.rump.15	351
2019.3.14.cow.skin.rump.16	366
2019.3.14.cow.skin.rump.18	474
2019.3.14.cow.skin.rump.19	403
2019.3.14.cow.skin.rump.2	454
2019.3.14.cow.skin.rump.20	334
2019.3.14.cow.skin.rump.3	252
2019.3.14.cow.skin.rump.4	352
2019.3.14.cow.skin.rump.5	286
2019.3.14.cow.skin.rump.6	420
2019.3.14.cow.skin.rump.7	249
2019.3.14.cow.skin.rump.8	601
2019.3.14.cow.skin.rump.8.rep	440
2019.3.14.cow.skin.rump.9	497
2019.3.14.cow.udder.1	269
2019.3.14.cow.udder.10	304
2019.3.14.cow.udder.12	269
2019.3.14.cow.udder.13	281
2019.3.14.cow.udder.14	274
2019.3.14.cow.udder.15	298
2019.3.14.cow.udder.19	356
2019.3.14.cow.udder.20	405
2019.3.14.cow.udder.4	380
2019.3.14.cow.udder.5	219
2019.3.14.cow.udder.9	285
PC1.3	12
PC1.4	17
