	shannon_entropy
2019.3.14.cow.fecal.1	6.912154125670315
2019.3.14.cow.fecal.10	6.855428238323184
2019.3.14.cow.fecal.11	7.69805183130336
2019.3.14.cow.fecal.12	7.237068138466461
2019.3.14.cow.fecal.13	7.739997015715012
2019.3.14.cow.fecal.13.rep	7.710370555509936
2019.3.14.cow.fecal.14	7.146554824589785
2019.3.14.cow.fecal.14.rep	7.066850019235722
2019.3.14.cow.fecal.15	7.214836834957769
2019.3.14.cow.fecal.15.rep	7.23296528094248
2019.3.14.cow.fecal.16	4.1915841010763915
2019.3.14.cow.fecal.17	7.178173422174428
2019.3.14.cow.fecal.17.rep	7.220300933195735
2019.3.14.cow.fecal.18	7.717073915171546
2019.3.14.cow.fecal.18.rep	7.790169173045051
2019.3.14.cow.fecal.19	7.625685663604982
2019.3.14.cow.fecal.19.rep	7.492761935635023
2019.3.14.cow.fecal.2	7.701941102465561
2019.3.14.cow.fecal.20	7.617883352712795
2019.3.14.cow.fecal.20.rep	7.509588150523668
2019.3.14.cow.fecal.3	6.977360149524623
2019.3.14.cow.fecal.4	7.7047616759003885
2019.3.14.cow.fecal.5	7.656672466214969
2019.3.14.cow.fecal.5.rep	7.7555231234304784
2019.3.14.cow.fecal.6	6.712862105186062
2019.3.14.cow.fecal.7	7.636180568478297
2019.3.14.cow.fecal.7.rep	7.2088744136465115
2019.3.14.cow.fecal.8	7.645888965671587
2019.3.14.cow.fecal.9	7.491806778033918
2019.3.14.cow.fecal.9.rep	7.47330637079383
2019.3.14.cow.nasal.1	2.4586202406696933
2019.3.14.cow.nasal.10	3.726000571572556
2019.3.14.cow.nasal.11.rep	3.5495548850371557
2019.3.14.cow.nasal.13	4.366018334530119
2019.3.14.cow.nasal.13.rep	2.7643362526636452
2019.3.14.cow.nasal.14	2.545237200290175
2019.3.14.cow.nasal.15	1.7821117782862559
2019.3.14.cow.nasal.15.rep	3.1888844506956318
2019.3.14.cow.nasal.16.rep	1.316722008880043
2019.3.14.cow.nasal.18.rep	1.4011437300809222
2019.3.14.cow.nasal.19	4.011224114692041
2019.3.14.cow.nasal.2	3.4594085511181087
2019.3.14.cow.nasal.3	3.3305179043567037
2019.3.14.cow.nasal.4	3.7458138736379603
2019.3.14.cow.nasal.4.rep	3.4402213218149775
2019.3.14.cow.nasal.5	3.234809872629234
2019.3.14.cow.nasal.6	1.7018878472542107
2019.3.14.cow.nasal.7	5.824959052835411
2019.3.14.cow.nasal.8	4.652185375118277
2019.3.14.cow.nasal.9	2.656479541120932
2019.3.14.cow.oral.1	3.6752647561615834
2019.3.14.cow.oral.1.rep	4.571990851237272
2019.3.14.cow.oral.10	3.700183023181653
2019.3.14.cow.oral.10.rep	3.542910696231765
2019.3.14.cow.oral.11	2.8340947968416326
2019.3.14.cow.oral.11.rep	3.2053472236010405
2019.3.14.cow.oral.12	4.741202744335218
2019.3.14.cow.oral.13.rep	4.817553323712585
2019.3.14.cow.oral.14	2.644726028748423
2019.3.14.cow.oral.15	4.958437536767821
2019.3.14.cow.oral.16	5.225868846500821
2019.3.14.cow.oral.17	6.098807599980517
2019.3.14.cow.oral.2	4.766868316041526
2019.3.14.cow.oral.3	4.492717416187407
2019.3.14.cow.oral.3.rep	4.362502802418123
2019.3.14.cow.oral.5	4.391558377894606
2019.3.14.cow.oral.6	3.79911812626463
2019.3.14.cow.oral.7	4.46041384628613
2019.3.14.cow.oral.8	3.8680218545139633
2019.3.14.cow.oral.9	5.958052783687136
2019.3.14.cow.skin.rump.1	7.695197552466767
2019.3.14.cow.skin.rump.10	7.671420151551118
2019.3.14.cow.skin.rump.11	7.672123279247852
2019.3.14.cow.skin.rump.12	7.437988694626538
2019.3.14.cow.skin.rump.13	6.773896048011932
2019.3.14.cow.skin.rump.14	7.242873614365252
2019.3.14.cow.skin.rump.15	7.367469869323076
2019.3.14.cow.skin.rump.16	7.499248851944555
2019.3.14.cow.skin.rump.18	7.7499035998368875
2019.3.14.cow.skin.rump.19	7.558658890008431
2019.3.14.cow.skin.rump.2	7.6332071391922955
2019.3.14.cow.skin.rump.20	7.2942183057150505
2019.3.14.cow.skin.rump.3	6.847304664213446
2019.3.14.cow.skin.rump.4	7.36935191756003
2019.3.14.cow.skin.rump.5	7.2329757937222325
2019.3.14.cow.skin.rump.6	7.561349565588862
2019.3.14.cow.skin.rump.7	7.01730040842746
2019.3.14.cow.skin.rump.8	7.947092417187269
2019.3.14.cow.skin.rump.8.rep	7.6659712635755115
2019.3.14.cow.skin.rump.9	7.927975718867366
2019.3.14.cow.udder.1	6.997235398578503
2019.3.14.cow.udder.10	7.185144413549943
2019.3.14.cow.udder.12	6.832568950639059
2019.3.14.cow.udder.13	7.172891303899817
2019.3.14.cow.udder.14	7.1485355478335
2019.3.14.cow.udder.15	7.3152360605436835
2019.3.14.cow.udder.19	7.341175338207172
2019.3.14.cow.udder.20	7.551487969577432
2019.3.14.cow.udder.4	7.408587340781144
2019.3.14.cow.udder.5	6.1786120959851
2019.3.14.cow.udder.9	7.222647057663092
PC1.3	2.6913231704779164
PC1.4	2.7061809443208267
