sampleid	sample	calf_number	calf_id	sample_type	date	day	age_d	age_w	week	sex	treatment	gel_results	resp_health	weekly_fecal_counts	weekly_fecal_counts2	pen	male_pair	sex_treatment	scours
108136	fecal.calf1.day1.Pempek	1	920	fecal	5/19/23	1	day 1	birth	0	male	individual	amplification	healthy	0	zero	1	no	male_individual	scours
108137	fecal.calf1.day5.Pempek	1	920	fecal	5/25/23	5	day 5	week1	1	male	individual	amplification	healthy	1	one	1	no	male_individual	normal
108148	fecal.calf3.day1.Pempek	3	6454	fecal	5/31/23	1	day 1	birth	0	female	pair	amplification	healthy	0	zero	3	no	female_pair	normal
108149	fecal.calf3.day5.Pempek	3	6454	fecal	6/6/23	5	day 5	week1	1	female	pair	amplification	healthy	0	zero	3	no	female_pair	normal
108150	fecal.calf3.day35.Pempek	3	6454	fecal	7/4/23	35	day 35	week5	5	female	pair	amplification	healthy	3	three	3	no	female_pair	normal
108151	fecal.calf3.day63.Pempek	3	6454	fecal	8/1/23	63	day 63	week9	9	female	pair	amplification	healthy	6	six	3	no	female_pair	scours
108154	fecal.calf4.day1.Pempek	4	6455	fecal	6/5/23	1	day 1	birth	0	female	pair	amplification	healthy	0	zero	3	no	female_pair	normal
108155	fecal.calf4.day5.Pempek	4	6455	fecal	6/11/23	5	day 5	week1	1	female	pair	amplification	healthy	0	zero	3	no	female_pair	normal
108156	fecal.calf4.day35.Pempek	4	6455	fecal	7/9/23	35	day 35	week5	5	female	pair	amplification	healthy	1	one	3	no	female_pair	scours
108157	fecal.calf4.day63.Pempek	4	6455	fecal	8/6/23	63	day 63	week9	9	female	pair	amplification	healthy	5	five	3	no	female_pair	normal
108160	fecal.calf5.day1.Pempek	5	922	fecal	6/12/23	1	day 1	birth	0	male	pair	amplification	healthy	0	zero	2	yes	male_pair	normal
108161	fecal.calf5.day5.Pempek	5	922	fecal	6/18/23	5	day 5	week1	1	male	pair	amplification	healthy	1	one	2	yes	male_pair	normal
108162	fecal.calf5.day35.Pempek	5	922	fecal	7/16/23	35	day 35	week5	5	male	pair	amplification	healthy	4	four	2	yes	male_pair	scours
108163	fecal.calf5.day63.Pempek	5	922	fecal	8/13/23	63	day 63	week9	9	male	pair	amplification	healthy	6	six	2	yes	male_pair	scours
108166	fecal.calf6.day1.Pempek	6	923	fecal	6/16/23	1	day 1	birth	0	male	pair	amplification	healthy	0	zero	2	yes	male_pair	normal
108167	fecal.calf6.day5.Pempek	6	923	fecal	6/22/23	5	day 5	week1	1	male	pair	amplification	healthy	1	one	2	yes	male_pair	normal
108168	fecal.calf6.day35.Pempek	6	923	fecal	7/20/23	35	day 35	week5	5	male	pair	amplification	healthy	5	five	2	yes	male_pair	normal
108169	fecal.calf6.day63.Pempek	6	923	fecal	8/17/23	63	day 63	week9	9	male	pair	amplification	healthy	6	six	2	yes	male_pair	scours
108173	fecal.calf7.day5.Pempek	7	924	fecal	6/23/23	5	day 5	week1	1	male	pair	amplification	healthy	1	one	5	yes	male_pair	scours
108174	fecal.calf7.day35.Pempek	7	924	fecal	7/21/23	35	day 35	week5	5	male	pair	amplification	healthy	3	three	5	yes	male_pair	normal
108175	fecal.calf7.day63.Pempek	7	924	fecal	8/18/23	63	day 63	week9	9	male	pair	amplification	healthy	6	six	5	yes	male_pair	scours
108180	fecal.calf8.day35.Pempek	8	6456	fecal	7/22/23	35	day 35	week5	5	female	individual	amplification	healthy	2	two	4	no	female_individual	normal
108181	fecal.calf8.day63.Pempek	8	6456	fecal	8/19/23	63	day 63	week9	9	female	individual	amplification	healthy	5	five	4	no	female_individual	scours
108184	fecal.calf9.day1.Pempek	9	6457	fecal	6/20/23	1	day 1	birth	0	female	individual	amplification	healthy	0	zero	7	no	female_individual	normal
108185	fecal.calf9.day5.Pempek	9	6457	fecal	6/26/23	5	day 5	week1	1	female	individual	amplification	healthy	1	one	7	no	female_individual	normal
108186	fecal.calf9.day35.Pempek	9	6457	fecal	7/24/23	35	day 35	week5	5	female	individual	amplification	healthy	2	two	7	no	female_individual	scours
108187	fecal.calf9.day63.Pempek	9	6457	fecal	8/21/23	63	day 63	week9	9	female	individual	amplification	upp_resp	5	five	7	no	female_individual	scours
108190	fecal.calf10.day1.Pempek	10	925	fecal	6/20/23	1	day 1	birth	0	male	pair	amplification	healthy	0	zero	5	yes	male_pair	scours
108191	fecal.calf10.day5.Pempek	10	925	fecal	6/26/23	5	day 5	week1	1	male	pair	amplification	healthy	2	two	5	yes	male_pair	normal
108192	fecal.calf10.day35.Pempek	10	925	fecal	7/24/23	35	day 35	week5	5	male	pair	amplification	healthy	3	three	5	yes	male_pair	scours
108193	fecal.calf10.day63.Pempek	10	925	fecal	8/21/23	63	day 63	week9	9	male	pair	amplification	healthy	5	five	5	yes	male_pair	scours
108196	fecal.calf11.day1.Pempek	11	6461	fecal	6/23/23	1	day 1	birth	0	female	pair	amplification	healthy	0	zero	8	no	female_pair	normal
108197	fecal.calf11.day5.Pempek	11	6461	fecal	6/29/23	5	day 5	week1	1	female	pair	amplification	healthy	2	two	8	no	female_pair	normal
108198	fecal.calf11.day35.Pempek	11	6461	fecal	7/27/23	35	day 35	week5	5	female	pair	amplification	healthy	7	seven	8	no	female_pair	scours
108199	fecal.calf11.day63.Pempek	11	6461	fecal	8/24/23	63	day 63	week9	9	female	pair	amplification	healthy	3	three	8	no	female_pair	scours
108203	fecal.calf12.day5.Pempek	12	6462	fecal	6/29/23	5	day 5	week1	1	female	pair	amplification	healthy	1	one	8	no	female_pair	normal
108204	fecal.calf12.day35.Pempek	12	6462	fecal	7/27/23	35	day 35	week5	5	female	pair	amplification	healthy	7	seven	8	no	female_pair	scours
108205	fecal.calf12.day63.Pempek	12	6462	fecal	8/24/23	63	day 63	week9	9	female	pair	amplification	healthy	3	three	8	no	female_pair	scours
108209	fecal.calf13.day5.Pempek	13	927	fecal	7/1/23	5	day 5	week1	1	male	individual	amplification	healthy	2	two	6	no	male_individual	normal
108210	fecal.calf13.day35.Pempek	13	927	fecal	7/29/23	35	day 35	week5	5	male	individual	amplification	healthy	5	five	6	no	male_individual	scours
108211	fecal.calf13.day63.Pempek	13	927	fecal	8/26/23	63	day 63	week9	9	male	individual	amplification	healthy	3	three	6	no	male_individual	normal
108215	fecal.calf14.day5.Pempek	14	928	fecal	7/1/23	5	day 5	week1	1	male	individual	amplification	healthy	3	three	9	no	male_individual	scours
108216	fecal.calf14.day35.Pempek	14	928	fecal	7/29/23	35	day 35	week5	5	male	individual	amplification	healthy	3	three	9	no	male_individual	scours
108217	fecal.calf14.day63.Pempek	14	928	fecal	8/26/23	63	day 63	week9	9	male	individual	amplification	healthy	3	three	9	no	male_individual	normal
108220	fecal.calf15.day1.Pempek	15	6465	fecal	6/26/23	1	day 1	birth	0	female	pair	amplification	healthy	0	zero	11	no	female_pair	normal
