	observed_features
108136	27
108137	56
108148	22
108149	33
108150	143
108151	217
108154	29
108155	41
108156	185
108157	241
108160	23
108161	50
108162	136
108163	149
108166	27
108167	71
108168	170
108169	255
108173	37
108174	187
108175	185
108180	181
108181	248
108184	25
108185	43
108186	172
108187	264
108190	28
108191	66
108192	143
108193	142
108196	37
108197	34
108198	167
108199	230
108203	69
108204	151
108205	203
108209	29
108210	193
108211	158
108215	39
108216	176
108217	211
108220	35
108221	25
108222	198
108223	230
108233	50
108234	119
108235	193
108238	38
108239	42
108240	160
108241	207
108244	32
108245	32
108246	197
108247	158
108250	32
108251	49
108252	149
108253	177
108256	58
108257	42
108258	133
108259	180
108263	74
108264	77
108265	146
108274	40
108275	74
108276	110
108277	207
108280	35
108281	78
108282	178
108283	201
108286	30
108287	35
108288	161
108289	209
108292	28
108293	40
108294	174
108295	246
108298	19
108299	23
108300	194
108301	245
108304	28
108305	49
108306	199
108307	216
108310	37
108312	207
108313	260
108592	83
108594	194
108597	39
108598	55
108600	196
108604	64
108605	189
108606	273
