	shannon_entropy
108136	2.101507961868148
108137	3.7768028596313976
108148	2.279014778407014
108149	2.1394552449430293
108150	4.908132258258311
108151	6.242895746927346
108154	2.7315809593160156
108155	2.4448126683192988
108156	5.73423845525907
108157	6.3881024058161335
108160	1.5478126242083174
108161	3.7893753425371854
108162	5.379963441288652
108163	5.373036915080805
108166	1.9255701424965301
108167	4.387369319462391
108168	6.040814404343627
108169	6.363891186224282
108173	3.2457460768589232
108174	6.145740735060024
108175	5.733067632954755
108180	5.9454424569529305
108181	6.46003677150835
108184	2.8140178327805914
108185	3.3525195092287428
108186	5.382455521058398
108187	6.030069144323974
108190	2.4598167152941808
108191	4.1175884980642365
108192	5.3938053126940755
108193	5.323311879765391
108196	1.6612231492089509
108197	3.1732188684809723
108198	5.792293903709608
108199	6.194939521271014
108203	4.1018625939997255
108204	5.261214769052366
108205	6.26045333207582
108209	2.8306944239861145
108210	5.795530612988062
108211	6.018744592908584
108215	2.750092055231307
108216	5.571520574527601
108217	6.141706756957509
108220	2.2322773465398793
108221	2.8729181364155503
108222	6.029642973575086
108223	6.107447880437976
108233	3.8112925665488016
108234	4.708902798946685
108235	5.727981630626562
108238	3.381952279184962
108239	2.1037117387567665
108240	5.731683848725196
108241	6.0991911271332295
108244	2.446714518705695
108245	2.6605432524908292
108246	5.970080723654116
108247	5.556897129884316
108250	1.9912096522947715
108251	3.611438959504874
108252	5.415944172689933
108253	5.056664026325337
108256	2.006738451179808
108257	2.513836440165718
108258	5.126686422414309
108259	5.782771105001118
108263	3.9886867460957323
108264	3.741163977311674
108265	5.1896418365985895
108274	2.187182333425415
108275	3.2210976781485585
108276	4.472427607546187
108277	5.98156788966788
108280	2.709315331056469
108281	4.430105925875731
108282	5.565745542149245
108283	6.054220590167266
108286	2.8235452121636597
108287	1.1455399101702288
108288	5.52654739109515
108289	6.436591840747408
108292	2.908311908744438
108293	3.291893459757355
108294	5.820680145447547
108295	6.156673929962956
108298	1.645061873245664
108299	3.252657900185819
108300	5.983130902249992
108301	6.276676740367376
108304	2.3131702530170064
108305	2.7520853823387346
108306	5.847742344321713
108307	6.305968961934562
108310	2.69134353822155
108312	6.2441165112337975
108313	6.814205886424698
108592	4.247225495244786
108594	5.9592851558811075
108597	3.599980679979516
108598	4.283219953884787
108600	6.125760932388081
108604	3.864505506795917
108605	5.747619673429943
108606	6.7093331363043855
