	pielou_evenness
14989.skin.hip.CMU.16.03.2016.02.25.day1	0.715000552893551
14989.skin.hip.CMU.16.03.2016.3.day10	0.6947756530643683
14989.skin.hip.CMU.16.03.2016.3.day11	0.7469580121397227
14989.skin.hip.CMU.16.03.2016.3.day12	0.8247917107200164
14989.skin.hip.CMU.16.03.2016.3.day13	0.7815141529441412
14989.skin.hip.CMU.16.03.2016.3.day15	0.7056365694411634
14989.skin.hip.CMU.16.03.2016.3.day16	0.7437749983148209
14989.skin.hip.CMU.16.03.2016.3.day17	0.6095464842471052
14989.skin.hip.CMU.16.03.2016.3.day18	0.5817223266648984
14989.skin.hip.CMU.16.03.2016.3.day2	0.6191506076702814
14989.skin.hip.CMU.16.03.2016.3.day20	0.7254502060709204
14989.skin.hip.CMU.16.03.2016.3.day21	0.762832445761926
14989.skin.hip.CMU.16.03.2016.3.day5	0.8096337825262268
14989.skin.hip.CMU.16.03.2016.3.day8	0.720115614985243
14989.skin.hip.CMU.16.03.2016.3.day9	0.6789681214093786
14989.skin.hip.CMU.16.04.2016.mo.day1	0.5973903571048378
14989.skin.hip.CMU.16.04.2016.mo.day11	0.5473773625446312
14989.skin.hip.CMU.16.04.2016.mo.day13	0.6638930033905052
14989.skin.hip.CMU.16.04.2016.mo.day15	0.7969962589666224
14989.skin.hip.CMU.16.04.2016.mo.day16	0.6905774801921479
14989.skin.hip.CMU.16.04.2016.mo.day17	0.7654816293098672
14989.skin.hip.CMU.16.04.2016.mo.day18	0.7763124768654291
14989.skin.hip.CMU.16.04.2016.mo.day19	0.7906142826831107
14989.skin.hip.CMU.16.04.2016.mo.day20	0.8006213211039469
14989.skin.hip.CMU.16.04.2016.mo.day9	0.6943949872611803
14989.skin.hip.CMU.16.05.2016.mo.day1	0.7868701200748691
14989.skin.hip.CMU.16.05.2016.mo.day10	0.790454762480464
14989.skin.hip.CMU.16.05.2016.mo.day11	0.7815479029931951
14989.skin.hip.CMU.16.05.2016.mo.day12	0.7332981348494405
14989.skin.hip.CMU.16.05.2016.mo.day13	0.6936380516785671
14989.skin.hip.CMU.16.05.2016.mo.day14	0.8635394378472394
14989.skin.hip.CMU.16.05.2016.mo.day15	0.8310013633618097
14989.skin.hip.CMU.16.05.2016.mo.day16	0.8277227427106839
14989.skin.hip.CMU.16.05.2016.mo.day17	0.6698743394868045
14989.skin.hip.CMU.16.05.2016.mo.day18	0.6708630801318007
14989.skin.hip.CMU.16.05.2016.mo.day19	0.6803937818071085
14989.skin.hip.CMU.16.05.2016.mo.day2	0.808282205937095
14989.skin.hip.CMU.16.05.2016.mo.day20	0.7613127715458848
14989.skin.hip.CMU.16.05.2016.mo.day21	0.611044691785364
