	shannon_entropy
14989.skin.hip.CMU.16.03.2016.02.25.day1	4.321745137247823
14989.skin.hip.CMU.16.03.2016.3.day10	3.998355722627595
14989.skin.hip.CMU.16.03.2016.3.day11	3.7347900606986135
14989.skin.hip.CMU.16.03.2016.3.day12	4.04716268866791
14989.skin.hip.CMU.16.03.2016.3.day13	4.806114410920373
14989.skin.hip.CMU.16.03.2016.3.day15	3.703129567262226
14989.skin.hip.CMU.16.03.2016.3.day16	4.176080804844997
14989.skin.hip.CMU.16.03.2016.3.day17	2.930306291268229
14989.skin.hip.CMU.16.03.2016.3.day18	2.734350729185136
14989.skin.hip.CMU.16.03.2016.3.day2	3.2009622062527883
14989.skin.hip.CMU.16.03.2016.3.day20	4.073192413441803
14989.skin.hip.CMU.16.03.2016.3.day21	4.260390603913762
14989.skin.hip.CMU.16.03.2016.3.day5	4.011084698156003
14989.skin.hip.CMU.16.03.2016.3.day8	3.7229437218412142
14989.skin.hip.CMU.16.03.2016.3.day9	4.292387642270843
14989.skin.hip.CMU.16.04.2016.mo.day1	3.1574483189688203
14989.skin.hip.CMU.16.04.2016.mo.day11	2.40425512633947
14989.skin.hip.CMU.16.04.2016.mo.day13	3.4322770365111985
14989.skin.hip.CMU.16.04.2016.mo.day15	3.4445605231479695
14989.skin.hip.CMU.16.04.2016.mo.day16	4.095633646255666
14989.skin.hip.CMU.16.04.2016.mo.day17	3.8274081465493364
14989.skin.hip.CMU.16.04.2016.mo.day18	4.288010063226275
14989.skin.hip.CMU.16.04.2016.mo.day19	3.759281971761859
14989.skin.hip.CMU.16.04.2016.mo.day20	4.0386494840097455
14989.skin.hip.CMU.16.04.2016.mo.day9	4.351625160094373
14989.skin.hip.CMU.16.05.2016.mo.day1	4.666720000940618
14989.skin.hip.CMU.16.05.2016.mo.day10	4.548978233624415
14989.skin.hip.CMU.16.05.2016.mo.day11	4.740939286171961
14989.skin.hip.CMU.16.05.2016.mo.day12	3.791096360869139
14989.skin.hip.CMU.16.05.2016.mo.day13	3.7403165511686516
14989.skin.hip.CMU.16.05.2016.mo.day14	4.237293546509686
14989.skin.hip.CMU.16.05.2016.mo.day15	4.296214724676868
14989.skin.hip.CMU.16.05.2016.mo.day16	4.245624206925019
14989.skin.hip.CMU.16.05.2016.mo.day17	3.148703951487306
14989.skin.hip.CMU.16.05.2016.mo.day18	2.849777735845385
14989.skin.hip.CMU.16.05.2016.mo.day19	3.7145633255219344
14989.skin.hip.CMU.16.05.2016.mo.day2	5.018990664034087
14989.skin.hip.CMU.16.05.2016.mo.day20	3.8065638577294245
